Timestamp,Protocol,Source IP,Destination IP,Country
2025-04-17 17:37:13,UDP,192.168.1.3,224.0.0.251,Local
2025-04-17 17:37:15,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:15,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,192.168.1.1,Local
2025-04-17 17:37:16,UDP,192.168.1.29,192.168.1.1,Local
2025-04-17 17:37:16,UDP,192.168.1.15,224.0.0.251,Local
2025-04-17 17:37:16,UDP,192.168.1.1,192.168.1.29,Local
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,192.168.1.1,192.168.1.29,Local
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,UDP,192.168.1.29,142.250.183.36,Local
2025-04-17 17:37:16,UDP,142.250.183.36,192.168.1.29,India
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,UDP,192.168.1.29,192.168.1.1,Local
2025-04-17 17:37:16,UDP,192.168.1.29,192.168.1.1,Local
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,UDP,192.168.1.1,192.168.1.29,Local
2025-04-17 17:37:16,UDP,192.168.1.1,192.168.1.29,Local
2025-04-17 17:37:16,TCP,192.168.1.29,208.95.112.1,Local
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
2025-04-17 17:37:16,TCP,208.95.112.1,192.168.1.29,United States
